id,timestamp,score,hits,name,player_id,site
210,1751456830836,384,"[[0,0,1],[1,0,0],[3,3,1],[0,1,1],[1,1,0],[1,0,0],[0,0,1],[1,1,1],[1,0,0],[1,0,0],[0,0,0],[0,0,1],[1,1,0],[0,1,0],[1,1,0],[1,0,0],[0,1,0],[0,1,2],[1,1,1],[1,1,1]]",Louis CLXXX,5,Riate
211,1751456830836,329,"[[1,0,1],[0,1,0],[1,1,1],[0,0,1],[1,0,1],[0,1,0],[0,0,0],[0,0,1],[1,0,0],[0,0,0],[0,1,1],[0,1,0],[2,1,1],[1,0,0],[1,0,0],[1,0,0],[0,1,1],[0,1,0],[2,1,1],[0,1,0]]",Robull,4,Riate
212,1751456830836,261,"[[0,0,1],[0,1,0],[0,1,0],[0,0,0],[1,2,0],[0,0,0],[1,0,0],[1,0,0],[0,1,1],[1,0,0],[0,0,1],[0,1,0],[1,1,0],[0,0,0],[0,3,1],[0,1,1],[0,0,1],[0,0,0],[0,1,0],[0,1,0]]",Hugues,1001,Riate
213,1751456830836,205,"[[0,0,0],[1,1,1],[0,1,1],[1,0,0],[0,0,1],[1,0,0],[0,0,0],[1,1,0],[0,1,0],[0,0,0],[0,1,0],[0,0,0],[0,0,0],[0,1,0],[0,0,0],[1,0,0],[2,0,0],[0,0,0],[1,0,1],[0,1,1]]",Angelo,6,Riate
214,1751468473677,696,"[[1,0,1],[3,1,1],[0,1,1],[0,0,3],[1,0,1],[1,1,1],[0,0,3],[1,1,1],[0,1,2],[3,1,0],[3,0,0],[0,1,3],[1,3,2],[1,1,2],[3,0,1],[2,2,0],[0,1,0],[1,1,2],[0,2,0],[1,1,1]]",Number One,0,Riate
215,1751468473677,410,"[[1,0,0],[3,0,0],[0,0,1],[1,1,0],[0,0,0],[0,0,0],[0,1,0],[1,1,1],[0,1,1],[0,0,3],[0,1,0],[0,1,3],[1,3,2],[1,1,1],[1,0,0],[2,2,0],[0,1,0],[0,0,1],[0,0,0],[0,0,1]]",Dart Simpson,3,Riate
216,1751468473677,400,"[[0,0,0],[0,1,1],[0,1,0],[1,1,1],[1,0,1],[1,1,1],[0,0,0],[0,0,0],[0,1,0],[3,1,0],[0,0,0],[0,1,3],[1,2,0],[0,1,0],[3,0,1],[0,1,1],[0,1,0],[0,1,1],[1,0,1],[0,1,0]]",Louis CLXXX,5,Riate
217,1751468473677,359,"[[0,0,1],[1,0,3],[0,0,0],[0,0,3],[0,0,0],[0,0,0],[0,0,3],[1,1,0],[0,1,2],[0,0,1],[0,1,0],[0,0,0],[0,1,0],[0,1,1],[1,1,1],[0,0,1],[0,0,1],[0,1,1],[0,2,0],[1,1,1]]",Robull,4,Riate
218,1751468473677,340,"[[1,0,1],[1,1,1],[0,1,1],[1,0,0],[0,0,1],[0,0,1],[0,1,1],[0,1,0],[3,0,0],[0,0,1],[3,0,0],[0,1,0],[1,0,0],[1,1,2],[1,0,1],[1,0,1],[0,0,0],[0,0,1],[0,1,1],[1,0,0]]",Hugues,1001,Riate
219,1751468473677,278,"[[0,1,0],[3,1,1],[0,1,0],[0,0,0],[1,0,0],[1,0,0],[2,0,0],[0,0,0],[0,0,0],[0,0,3],[0,1,0],[1,0,0],[1,0,0],[0,1,0],[0,1,0],[0,1,0],[0,1,0],[1,1,2],[1,0,0],[0,0,1]]",Angelo,6,Riate
220,1751542504070,575,"[[1,1,0],[3,1,1],[0,1,3],[3,0,1],[1,0,1],[1,1,1],[0,1,1],[1,1,0],[1,1,0],[0,1,0],[3,0,0],[0,0,3],[0,1,1],[0,3,0],[1,0,0],[0,0,1],[1,1,1],[0,3,1],[0,2,0],[3,0,3]]",Number One,0,Riate
221,1751542504070,385,"[[1,1,0],[1,1,0],[0,0,0],[1,1,0],[1,0,0],[1,1,1],[0,1,1],[1,1,0],[0,1,0],[0,1,0],[1,0,1],[1,0,0],[0,0,1],[1,0,1],[0,0,0],[0,0,1],[1,1,1],[0,0,1],[0,0,1],[3,0,3]]",Louis CLXXX,5,Riate
222,1751542504070,351,"[[0,0,0],[3,1,1],[0,1,3],[3,0,1],[1,0,1],[1,0,0],[0,0,1],[1,0,0],[1,1,0],[1,0,0],[0,0,0],[0,1,1],[0,1,1],[0,3,0],[1,0,0],[1,0,0],[0,0,0],[0,3,1],[1,0,0],[1,0,1]]",Dart Simpson,3,Riate
223,1751542504070,185,"[[0,0,0],[0,0,0],[0,1,1],[0,0,0],[0,1,0],[0,0,0],[0,1,0],[0,1,1],[0,0,0],[0,1,0],[3,0,0],[0,0,3],[0,0,0],[0,0,0],[0,0,0],[1,0,0],[0,0,0],[0,0,1],[0,2,0],[0,0,0]]",Angelo,6,Riate
224,1751556675159,660,"[[1,1,0],[1,3,1],[0,1,0],[1,1,1],[0,0,3],[1,1,0],[0,1,1],[0,1,3],[0,1,1],[0,1,3],[1,1,0],[0,1,1],[1,2,1],[0,0,1],[1,1,2],[3,0,1],[2,0,0],[0,1,1],[3,0,1],[0,3,3]]",Number One,0,Riate
225,1751556675159,478,"[[0,1,0],[1,1,0],[0,1,0],[1,0,0],[0,0,1],[0,1,1],[0,1,1],[0,1,3],[0,0,0],[0,1,1],[1,1,0],[0,1,0],[1,1,1],[0,0,0],[1,0,1],[0,1,1],[1,0,1],[0,1,0],[3,0,1],[0,3,3]]",Robull,4,Riate
226,1751556675159,423,"[[1,1,0],[0,1,2],[0,0,0],[1,1,1],[1,1,0],[1,1,0],[0,0,0],[0,1,1],[0,1,1],[0,1,3],[1,0,0],[0,1,1],[1,2,1],[0,0,1],[1,1,2],[0,0,1],[2,0,0],[1,0,0],[1,1,0],[1,0,1]]",Dart Simpson,3,Riate
227,1751556675159,353,"[[1,0,0],[1,3,1],[0,1,0],[0,0,0],[0,0,3],[0,0,1],[1,0,1],[1,0,1],[0,0,0],[2,0,2],[1,1,0],[1,1,0],[1,0,1],[0,0,0],[1,1,1],[1,0,0],[0,0,0],[0,1,1],[1,0,0],[0,3,0]]",Louis CLXXX,5,Riate
228,1751556675159,203,"[[0,1,0],[0,1,1],[0,1,0],[1,0,0],[1,1,0],[0,0,0],[0,0,0],[0,0,1],[0,0,0],[1,0,0],[1,0,0],[0,1,0],[1,1,0],[0,0,0],[0,0,1],[3,0,1],[0,1,0],[0,1,0],[0,0,0],[0,0,0]]",Angelo,6,Riate
229,1751890175092,657,"[[1,1,0],[0,2,0],[0,3,0],[3,0,0],[3,0,1],[1,1,0],[1,0,1],[0,3,1],[0,1,1],[1,0,1],[1,1,1],[2,1,3],[1,2,1],[1,1,1],[1,1,0],[2,1,0],[0,1,3],[1,0,3],[0,0,3],[0,1,1]]",Number One,0,Riate
230,1751890175092,550,"[[0,1,0],[0,0,1],[0,3,0],[1,0,0],[3,1,0],[1,1,0],[1,1,0],[0,3,1],[1,1,0],[0,1,0],[1,1,1],[2,1,3],[1,2,1],[1,1,1],[0,0,1],[2,1,0],[0,1,1],[0,3,0],[0,1,1],[0,1,1]]",Louis CLXXX,5,Riate
