id,timestamp,score,hits,name,player_id
189,1751285537969,434,"[[0,1,0],[1,1,2],[1,0,0],[0,0,1],[1,0,0],[2,0,1],[0,0,0],[1,1,0],[1,0,0],[0,0,0],[0,0,1],[0,1,0],[0,0,1],[1,2,1],[3,0,1],[0,3,1],[0,0,1],[0,0,1],[1,0,0],[3,1,1]]",Dart Simpson,3
190,1751285537969,396,"[[0,1,1],[0,0,0],[0,0,3],[0,1,1],[1,0,1],[3,1,3],[0,3,0],[0,1,1],[0,1,0],[1,1,0],[0,3,0],[1,1,1],[0,0,0],[0,0,0],[1,0,0],[1,1,1],[1,0,0],[3,0,1],[1,1,0],[0,0,0]]",Louis CLXXX,5
191,1751285537969,327,"[[0,0,1],[0,1,1],[0,0,1],[1,3,0],[0,1,0],[0,1,0],[1,1,2],[1,1,0],[0,0,0],[0,2,1],[1,1,0],[1,0,0],[0,0,0],[0,0,0],[3,1,0],[0,1,1],[0,1,1],[0,0,0],[1,1,0],[0,1,0]]",Darts Vador,2
192,1751285537969,287,"[[0,1,1],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[3,1,0],[0,3,0],[0,0,1],[1,1,0],[0,0,0],[0,0,0],[1,1,0],[0,0,0],[2,0,0],[1,1,0],[0,0,0],[0,1,0],[0,1,0],[0,0,3],[0,1,1]]",Angelo,6
193,1751285537969,183,"[[0,0,0],[0,0,0],[0,0,0],[0,1,1],[0,0,0],[0,1,0],[0,3,1],[1,3,0],[0,0,1],[0,0,0],[0,0,1],[0,3,0],[0,0,0],[0,0,0],[0,1,0],[0,0,0],[0,0,0],[0,1,0],[0,0,0],[1,0,0]]",Cramomille,7
194,1751296774450,506,"[[1,0,0],[0,3,2],[0,1,2],[1,1,0],[3,1,0],[0,0,1],[1,2,1],[1,0,2],[1,0,1],[0,0,2],[0,1,0],[0,1,0],[0,3,0],[0,0,1],[1,3,1],[1,1,1],[3,0,0],[0,3,0],[0,1,1],[1,0,0]]",Number One,0
195,1751296774450,392,"[[0,0,0],[0,3,2],[0,1,2],[1,1,0],[3,1,0],[0,0,0],[1,1,0],[1,0,2],[1,0,1],[0,1,0],[0,1,0],[0,0,0],[0,3,0],[0,0,1],[1,3,1],[1,1,1],[0,0,0],[0,3,0],[0,1,1],[0,0,0]]",Darts Vador,2
196,1751296774450,180,"[[1,0,0],[0,1,0],[0,0,1],[0,1,0],[0,0,0],[0,0,1],[1,2,1],[0,0,0],[0,0,0],[0,0,0],[0,1,0],[0,1,0],[1,0,1],[0,0,0],[0,0,0],[0,0,1],[3,0,0],[0,0,0],[0,0,0],[1,0,0]]",Angelo,6
197,1751296774450,174,"[[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,1,0],[0,1,0],[0,2,0],[0,0,0],[0,1,0],[0,0,2],[0,0,0],[0,0,0],[0,0,0],[0,0,1],[0,0,0],[1,0,1],[1,0,0],[0,0,1],[1,0,0],[0,1,0]]",Cramomille,7
198,1751370553808,702,"[[0,3,1],[1,0,1],[0,1,1],[1,1,1],[0,3,1],[0,3,0],[0,1,0],[0,2,3],[1,2,1],[1,1,1],[1,1,1],[1,1,1],[1,0,1],[3,1,0],[1,1,1],[2,1,0],[1,1,1],[1,0,1],[2,1,3],[0,3,1]]",Number One,0
199,1751370553808,434,"[[0,3,1],[0,1,0],[0,0,1],[0,1,0],[0,0,0],[0,3,0],[0,0,0],[0,2,3],[1,2,1],[1,1,1],[0,0,0],[1,1,1],[1,0,1],[3,1,0],[0,0,0],[1,2,0],[0,0,0],[1,1,0],[1,1,3],[0,0,0]]",Darts Vador,2
200,1751370553808,405,"[[3,0,0],[1,0,1],[1,1,0],[1,1,1],[0,3,1],[1,0,0],[0,0,0],[0,0,0],[0,0,3],[0,1,0],[1,1,1],[0,0,1],[0,0,0],[1,0,0],[1,1,1],[2,1,0],[1,1,1],[1,0,1],[1,0,1],[0,0,2]]",Louis CLXXX,5
201,1751370553808,364,"[[0,0,1],[1,0,0],[0,0,1],[1,1,0],[0,0,0],[1,1,1],[1,0,0],[0,1,1],[1,0,0],[0,0,1],[1,0,1],[0,0,0],[1,1,0],[1,0,0],[1,1,0],[1,1,1],[1,1,0],[1,0,1],[0,0,0],[0,3,1]]",Dart Simpson,3
202,1751370553808,207,"[[0,0,0],[0,0,0],[0,1,1],[0,0,0],[0,0,0],[0,0,0],[0,1,0],[0,2,0],[1,0,0],[0,0,1],[0,1,0],[0,0,0],[0,0,0],[0,1,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[2,1,3],[0,1,0]]",Cramomille,7
203,1751382419210,807,"[[0,1,1],[3,1,1],[0,1,3],[0,1,1],[1,0,2],[0,2,1],[0,3,1],[0,3,1],[3,1,0],[1,0,1],[1,0,1],[3,1,0],[0,1,1],[2,1,1],[0,3,1],[0,2,2],[3,0,1],[2,3,1],[0,3,3],[1,1,1]]",Number One,0
204,1751382419210,536,"[[0,1,0],[0,0,0],[1,1,0],[0,1,1],[1,0,0],[0,2,1],[0,3,1],[1,0,0],[0,0,2],[0,0,0],[0,0,0],[1,1,1],[0,1,0],[2,1,1],[0,1,0],[1,1,1],[3,0,1],[1,2,0],[0,3,3],[1,0,1]]",Louis CLXXX,5
205,1751382419210,493,"[[0,0,1],[0,1,1],[0,1,3],[0,0,0],[0,0,1],[0,1,1],[0,0,0],[0,3,1],[3,1,0],[0,1,1],[1,0,1],[3,1,0],[0,0,1],[1,0,0],[1,1,1],[1,1,1],[1,1,0],[2,3,1],[0,0,1],[0,0,1]]",Robull,4
206,1751382419210,385,"[[1,1,0],[1,1,1],[0,0,1],[0,0,0],[1,0,2],[0,1,1],[1,0,0],[0,1,1],[1,1,0],[0,1,1],[0,1,0],[0,0,1],[0,1,1],[1,0,1],[0,3,1],[1,0,1],[0,0,0],[0,0,0],[0,3,0],[1,2,0]]",Angelo,6
207,1751382419210,319,"[[0,1,1],[1,1,1],[1,1,0],[0,0,1],[0,1,0],[1,0,1],[1,1,1],[0,1,0],[1,1,1],[1,0,1],[1,0,0],[1,1,0],[0,0,1],[0,0,3],[1,0,0],[0,2,0],[1,1,1],[0,0,0],[0,0,0],[1,0,0]]",Darts Vador,2
208,1751382419210,273,"[[0,0,0],[3,1,1],[0,1,1],[0,0,0],[1,0,1],[1,0,1],[1,0,0],[1,0,1],[0,1,0],[0,0,1],[0,1,0],[0,1,0],[0,1,0],[0,0,0],[0,1,0],[0,2,2],[0,0,0],[1,0,0],[0,0,0],[1,1,1]]",Dart Simpson,3
209,1751456830836,533,"[[1,0,1],[1,1,1],[3,3,1],[0,1,1],[1,2,0],[0,1,0],[0,0,1],[1,1,1],[0,1,1],[1,0,0],[0,1,1],[0,1,0],[2,1,1],[1,0,0],[0,3,1],[0,1,1],[0,1,1],[0,1,2],[2,1,1],[1,1,1]]",Number One,0
210,1751456830836,384,"[[0,0,1],[1,0,0],[3,3,1],[0,1,1],[1,1,0],[1,0,0],[0,0,1],[1,1,1],[1,0,0],[1,0,0],[0,0,0],[0,0,1],[1,1,0],[0,1,0],[1,1,0],[1,0,0],[0,1,0],[0,1,2],[1,1,1],[1,1,1]]",Louis CLXXX,5
211,1751456830836,329,"[[1,0,1],[0,1,0],[1,1,1],[0,0,1],[1,0,1],[0,1,0],[0,0,0],[0,0,1],[1,0,0],[0,0,0],[0,1,1],[0,1,0],[2,1,1],[1,0,0],[1,0,0],[1,0,0],[0,1,1],[0,1,0],[2,1,1],[0,1,0]]",Robull,4
212,1751456830836,261,"[[0,0,1],[0,1,0],[0,1,0],[0,0,0],[1,2,0],[0,0,0],[1,0,0],[1,0,0],[0,1,1],[1,0,0],[0,0,1],[0,1,0],[1,1,0],[0,0,0],[0,3,1],[0,1,1],[0,0,1],[0,0,0],[0,1,0],[0,1,0]]",Hugues,
213,1751456830836,205,"[[0,0,0],[1,1,1],[0,1,1],[1,0,0],[0,0,1],[1,0,0],[0,0,0],[1,1,0],[0,1,0],[0,0,0],[0,1,0],[0,0,0],[0,0,0],[0,1,0],[0,0,0],[1,0,0],[2,0,0],[0,0,0],[1,0,1],[0,1,1]]",Angelo,6
214,1751468473677,696,"[[1,0,1],[3,1,1],[0,1,1],[0,0,3],[1,0,1],[1,1,1],[0,0,3],[1,1,1],[0,1,2],[3,1,0],[3,0,0],[0,1,3],[1,3,2],[1,1,2],[3,0,1],[2,2,0],[0,1,0],[1,1,2],[0,2,0],[1,1,1]]",Number One,0
215,1751468473677,410,"[[1,0,0],[3,0,0],[0,0,1],[1,1,0],[0,0,0],[0,0,0],[0,1,0],[1,1,1],[0,1,1],[0,0,3],[0,1,0],[0,1,3],[1,3,2],[1,1,1],[1,0,0],[2,2,0],[0,1,0],[0,0,1],[0,0,0],[0,0,1]]",Dart Simpson,3
216,1751468473677,400,"[[0,0,0],[0,1,1],[0,1,0],[1,1,1],[1,0,1],[1,1,1],[0,0,0],[0,0,0],[0,1,0],[3,1,0],[0,0,0],[0,1,3],[1,2,0],[0,1,0],[3,0,1],[0,1,1],[0,1,0],[0,1,1],[1,0,1],[0,1,0]]",Louis CLXXX,5
217,1751468473677,359,"[[0,0,1],[1,0,3],[0,0,0],[0,0,3],[0,0,0],[0,0,0],[0,0,3],[1,1,0],[0,1,2],[0,0,1],[0,1,0],[0,0,0],[0,1,0],[0,1,1],[1,1,1],[0,0,1],[0,0,1],[0,1,1],[0,2,0],[1,1,1]]",Robull,4
218,1751468473677,340,"[[1,0,1],[1,1,1],[0,1,1],[1,0,0],[0,0,1],[0,0,1],[0,1,1],[0,1,0],[3,0,0],[0,0,1],[3,0,0],[0,1,0],[1,0,0],[1,1,2],[1,0,1],[1,0,1],[0,0,0],[0,0,1],[0,1,1],[1,0,0]]",Hugues,
219,1751468473677,278,"[[0,1,0],[3,1,1],[0,1,0],[0,0,0],[1,0,0],[1,0,0],[2,0,0],[0,0,0],[0,0,0],[0,0,3],[0,1,0],[1,0,0],[1,0,0],[0,1,0],[0,1,0],[0,1,0],[0,1,0],[1,1,2],[1,0,0],[0,0,1]]",Angelo,6
220,1751542504070,575,"[[1,1,0],[3,1,1],[0,1,3],[3,0,1],[1,0,1],[1,1,1],[0,1,1],[1,1,0],[1,1,0],[0,1,0],[3,0,0],[0,0,3],[0,1,1],[0,3,0],[1,0,0],[0,0,1],[1,1,1],[0,3,1],[0,2,0],[3,0,3]]",Number One,0
221,1751542504070,385,"[[1,1,0],[1,1,0],[0,0,0],[1,1,0],[1,0,0],[1,1,1],[0,1,1],[1,1,0],[0,1,0],[0,1,0],[1,0,1],[1,0,0],[0,0,1],[1,0,1],[0,0,0],[0,0,1],[1,1,1],[0,0,1],[0,0,1],[3,0,3]]",Louis CLXXX,5
222,1751542504070,351,"[[0,0,0],[3,1,1],[0,1,3],[3,0,1],[1,0,1],[1,0,0],[0,0,1],[1,0,0],[1,1,0],[1,0,0],[0,0,0],[0,1,1],[0,1,1],[0,3,0],[1,0,0],[1,0,0],[0,0,0],[0,3,1],[1,0,0],[1,0,1]]",Dart Simpson,3
223,1751542504070,185,"[[0,0,0],[0,0,0],[0,1,1],[0,0,0],[0,1,0],[0,0,0],[0,1,0],[0,1,1],[0,0,0],[0,1,0],[3,0,0],[0,0,3],[0,0,0],[0,0,0],[0,0,0],[1,0,0],[0,0,0],[0,0,1],[0,2,0],[0,0,0]]",Angelo,6
224,1751556675159,660,"[[1,1,0],[1,3,1],[0,1,0],[1,1,1],[0,0,3],[1,1,0],[0,1,1],[0,1,3],[0,1,1],[0,1,3],[1,1,0],[0,1,1],[1,2,1],[0,0,1],[1,1,2],[3,0,1],[2,0,0],[0,1,1],[3,0,1],[0,3,3]]",Number One,0
225,1751556675159,478,"[[0,1,0],[1,1,0],[0,1,0],[1,0,0],[0,0,1],[0,1,1],[0,1,1],[0,1,3],[0,0,0],[0,1,1],[1,1,0],[0,1,0],[1,1,1],[0,0,0],[1,0,1],[0,1,1],[1,0,1],[0,1,0],[3,0,1],[0,3,3]]",Robull,4
226,1751556675159,423,"[[1,1,0],[0,1,2],[0,0,0],[1,1,1],[1,1,0],[1,1,0],[0,0,0],[0,1,1],[0,1,1],[0,1,3],[1,0,0],[0,1,1],[1,2,1],[0,0,1],[1,1,2],[0,0,1],[2,0,0],[1,0,0],[1,1,0],[1,0,1]]",Dart Simpson,3
227,1751556675159,353,"[[1,0,0],[1,3,1],[0,1,0],[0,0,0],[0,0,3],[0,0,1],[1,0,1],[1,0,1],[0,0,0],[2,0,2],[1,1,0],[1,1,0],[1,0,1],[0,0,0],[1,1,1],[1,0,0],[0,0,0],[0,1,1],[1,0,0],[0,3,0]]",Louis CLXXX,5
228,1751556675159,203,"[[0,1,0],[0,1,1],[0,1,0],[1,0,0],[1,1,0],[0,0,0],[0,0,0],[0,0,1],[0,0,0],[1,0,0],[1,0,0],[0,1,0],[1,1,0],[0,0,0],[0,0,1],[3,0,1],[0,1,0],[0,1,0],[0,0,0],[0,0,0]]",Angelo,6
229,1751890175092,657,"[[1,1,0],[0,2,0],[0,3,0],[3,0,0],[3,0,1],[1,1,0],[1,0,1],[0,3,1],[0,1,1],[1,0,1],[1,1,1],[2,1,3],[1,2,1],[1,1,1],[1,1,0],[2,1,0],[0,1,3],[1,0,3],[0,0,3],[0,1,1]]",Number One,0
230,1751890175092,550,"[[0,1,0],[0,0,1],[0,3,0],[1,0,0],[3,1,0],[1,1,0],[1,1,0],[0,3,1],[1,1,0],[0,1,0],[1,1,1],[2,1,3],[1,2,1],[1,1,1],[0,0,1],[2,1,0],[0,1,1],[0,3,0],[0,1,1],[0,1,1]]",Louis CLXXX,5
231,1751890175092,394,"[[0,1,0],[1,0,0],[1,0,0],[0,0,1],[0,1,0],[0,0,1],[0,0,1],[1,0,1],[1,0,0],[1,1,0],[0,1,1],[0,0,1],[1,0,0],[1,1,1],[0,1,0],[0,1,0],[3,1,0],[0,1,1],[0,0,3],[0,1,1]]",Darts Vador,2
232,1751890175092,330,"[[0,0,0],[0,2,0],[0,1,1],[3,0,0],[0,0,0],[1,0,0],[0,1,0],[2,1,0],[0,0,0],[0,0,0],[1,1,0],[3,0,0],[0,0,0],[0,0,1],[0,0,0],[0,0,0],[0,1,3],[1,0,3],[0,1,0],[0,1,1]]",Cramomille,7
233,1751890175092,325,"[[0,0,0],[0,0,1],[1,0,0],[0,0,0],[3,0,1],[1,1,0],[1,0,1],[0,0,1],[0,1,1],[1,0,1],[0,0,1],[0,1,1],[1,1,1],[0,0,0],[1,1,0],[1,1,0],[0,0,1],[1,0,1],[0,1,0],[0,0,1]]",Dart Simpson,3
234,1751890175092,147,"[[0,0,0],[0,0,0],[0,0,0],[1,0,0],[1,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,1],[2,0,0],[1,0,1],[0,0,0],[1,0,0],[0,1,0],[0,0,1],[1,0,0],[0,0,0],[0,0,0],[0,1,0]]",Felix,
235,1751890175092,95,"[[1,1,0],[0,0,0],[1,1,0],[0,0,0],[0,0,3],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[0,0,0],[1,1,0],[0,0,0],[0,0,1]]",Angelo,6
236,1751899087295,599,"[[1,0,0],[0,3,0],[1,1,1],[2,1,1],[1,1,3],[3,1,0],[1,0,1],[0,1,3],[0,3,0],[1,0,1],[1,0,1],[0,1,0],[0,1,1],[3,0,0],[1,1,1],[1,0,1],[0,0,1],[0,3,0],[3,1,1],[0,3,1]]",Number One,0
237,1751899087295,420,"[[1,0,0],[0,1,1],[1,1,0],[0,0,0],[1,1,3],[0,1,0],[1,0,1],[0,0,1],[0,1,1],[0,0,0],[1,1,0],[0,1,0],[1,0,0],[3,0,0],[1,1,1],[0,1,0],[1,0,0],[0,1,1],[3,1,1],[1,1,0]]",Louis CLXXX,5
238,1751899087295,337,"[[1,0,0],[0,3,0],[1,1,1],[2,1,1],[0,1,1],[1,0,1],[0,1,0],[1,1,1],[0,1,1],[1,0,1],[1,0,1],[0,1,0],[0,1,1],[0,1,0],[0,1,0],[1,0,1],[0,0,1],[1,0,0],[0,1,1],[1,0,0]]",Dart Simpson,3
239,1751899087295,303,"[[0,0,0],[1,1,0],[1,0,1],[0,0,0],[1,1,0],[3,1,0],[0,1,0],[0,1,3],[0,1,0],[0,0,1],[1,0,0],[0,1,0],[1,0,0],[0,0,1],[1,1,1],[0,1,0],[0,1,0],[0,3,0],[0,0,1],[0,0,0]]",Darts Vador,2
240,1751899087295,191,"[[0,0,1],[0,0,0],[0,0,0],[0,3,0],[0,0,0],[0,1,0],[0,0,0],[0,0,0],[3,0,0],[0,0,0],[1,1,0],[0,1,0],[0,0,0],[0,0,0],[0,0,1],[0,0,1],[0,0,0],[0,0,0],[0,0,0],[0,3,1]]",Cramomille,7
241,1751899087295,172,"[[0,0,1],[1,0,1],[0,1,0],[0,0,1],[0,3,0],[0,0,0],[0,0,1],[0,1,0],[0,3,0],[0,0,0],[1,0,1],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[0,1,0],[0,0,0],[0,0,1],[0,0,1],[0,0,0]]",Angelo,6
245,1751975604147,738,"[[0,0,3],[1,1,0],[0,3,1],[1,1,0],[1,1,1],[2,2,0],[3,1,0],[0,3,3],[0,1,1],[1,3,1],[3,0,1],[0,1,2],[0,2,0],[1,1,3],[1,1,1],[1,1,1],[3,0,1],[0,1,1],[3,1,1],[0,3,0]]",Number One,0
246,1751975604147,412,"[[0,0,0],[0,0,0],[0,1,1],[1,0,1],[1,0,0],[2,2,0],[0,0,0],[1,3,1],[0,0,1],[1,0,1],[0,0,0],[1,1,1],[1,1,0],[0,0,1],[1,1,1],[1,1,0],[2,0,0],[1,0,0],[3,1,1],[0,0,0]]",Dart Simpson,3
247,1751975604147,404,"[[0,0,1],[1,0,0],[1,0,0],[0,0,1],[0,0,0],[0,1,1],[1,0,2],[1,0,1],[1,0,0],[3,0,0],[0,0,1],[0,0,1],[0,0,1],[1,1,3],[0,1,1],[0,0,0],[0,1,0],[1,1,0],[1,1,1],[2,1,0]]",Robull,4
248,1751975604147,387,"[[1,0,1],[0,1,0],[0,3,0],[1,1,0],[1,1,1],[0,3,0],[0,1,1],[1,0,1],[0,0,0],[1,3,1],[0,0,1],[1,0,1],[1,0,0],[2,1,1],[0,0,0],[0,0,0],[0,1,1],[0,1,1],[0,0,1],[0,3,0]]",Louis CLXXX,5
249,1751975604147,379,"[[0,0,0],[1,1,0],[1,0,1],[1,0,1],[0,1,1],[0,1,0],[1,0,0],[0,0,0],[0,1,1],[2,1,1],[3,0,1],[0,1,2],[1,1,0],[0,0,0],[1,1,0],[0,1,0],[1,0,2],[0,1,0],[1,0,0],[0,1,1]]",Hugues,
250,1751975604147,300,"[[0,0,1],[1,0,0],[1,0,0],[1,0,1],[1,0,0],[0,0,0],[3,1,0],[1,1,0],[0,1,0],[0,0,0],[1,1,0],[1,0,0],[0,1,1],[0,0,1],[0,1,0],[1,1,1],[1,1,1],[0,0,0],[0,0,0],[1,0,1]]",Darts Vador,2
251,1751975604147,290,"[[0,0,0],[1,0,0],[0,3,1],[0,2,0],[0,0,0],[0,1,0],[1,1,0],[0,3,3],[0,0,0],[3,1,0],[0,0,0],[1,0,0],[0,2,0],[0,0,0],[0,1,0],[0,0,0],[3,0,1],[0,0,0],[0,1,0],[1,0,0]]",Angelo,6
252,1751975604147,256,"[[0,0,3],[0,0,0],[0,0,0],[0,0,2],[0,0,0],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[0,1,0],[1,0,3],[0,0,0],[0,1,0],[0,0,1],[0,0,0],[0,0,0],[1,0,1],[0,1,0],[0,1,3],[0,0,1]]",Cramomille,7
253,1751993504188,630,"[[0,3,0],[1,2,0],[3,1,1],[1,0,0],[0,0,1],[0,3,0],[1,1,0],[1,0,0],[0,2,1],[0,1,3],[0,0,1],[0,0,3],[3,0,0],[0,1,2],[1,1,1],[1,3,1],[3,1,1],[1,1,1],[0,1,1],[1,1,1]]",Number One,0
254,1751993504188,518,"[[1,0,0],[1,2,0],[3,1,1],[1,0,0],[0,1,0],[0,1,0],[0,1,0],[1,0,0],[1,1,0],[1,2,0],[0,0,1],[0,1,0],[1,0,1],[1,1,1],[1,0,1],[1,3,1],[3,1,1],[1,1,1],[0,1,1],[0,1,1]]",Louis CLXXX,5
255,1751993504188,324,"[[0,1,0],[1,0,0],[0,0,0],[0,0,0],[0,1,0],[1,0,0],[1,0,0],[0,1,0],[1,0,0],[0,1,3],[0,0,0],[0,1,1],[1,1,0],[0,1,2],[1,1,1],[0,1,0],[0,0,0],[1,1,1],[0,0,1],[0,0,1]]",Hugues,
256,1751993504188,255,"[[0,0,0],[0,1,0],[0,1,0],[0,0,0],[0,0,1],[0,1,0],[1,1,0],[1,0,0],[0,2,1],[0,0,0],[0,0,1],[0,0,3],[3,0,0],[0,0,0],[1,1,0],[0,0,0],[0,0,1],[0,0,1],[0,1,0],[0,0,1]]",Angelo,6
257,1751993504188,241,"[[0,3,0],[0,0,0],[0,0,0],[1,0,0],[0,1,0],[0,3,0],[0,0,0],[0,0,0],[0,1,0],[0,0,0],[1,0,0],[0,0,0],[1,0,0],[1,0,0],[0,0,0],[0,0,0],[3,0,1],[0,1,1],[0,0,0],[1,1,1]]",Cramomille,7
258,1752059964962,695,"[[3,3,0],[0,1,1],[0,3,1],[0,3,1],[0,3,1],[0,3,2],[1,0,2],[1,0,3],[1,3,1],[1,1,1],[1,1,0],[1,1,1],[2,1,2],[0,0,3],[0,1,2],[1,1,1],[1,1,1],[2,1,0],[1,2,1],[1,0,1]]",Number One,0
259,1752059964962,453,"[[3,3,0],[0,0,0],[0,1,1],[0,0,0],[1,1,0],[0,0,0],[0,0,0],[0,1,0],[1,0,0],[1,1,1],[0,0,0],[1,1,1],[1,1,1],[1,0,1],[0,1,1],[1,1,1],[1,1,1],[1,1,0],[1,2,1],[1,0,1]]",Darts Vador,2
260,1752059964962,427,"[[0,0,0],[0,0,0],[1,0,0],[0,1,1],[0,3,1],[0,3,2],[1,0,1],[1,0,3],[0,1,3],[0,1,1],[1,1,0],[0,0,0],[2,1,2],[0,0,3],[0,1,2],[0,0,0],[0,0,1],[2,1,0],[0,0,1],[0,0,0]]",Dart Simpson,3
261,1752059964962,409,"[[0,3,0],[0,1,1],[0,3,1],[0,3,1],[1,0,1],[1,1,1],[1,0,2],[1,1,1],[1,3,1],[1,0,1],[1,0,1],[1,1,1],[1,0,1],[0,1,0],[1,1,0],[1,0,0],[0,1,0],[1,1,0],[1,0,0],[0,1,0]]",Louis CLXXX,5
